category,extra_name,main_name,price,subcategory,unit_price
Hus og hjem,"250 ml, 8 stk",Pappkopp,"kr 17,00",Engangs og Servietter,"kr 2,13 per stk"
Hus og hjem,"250 ml, 8 stk",Pappkopp Ballonger,"kr 17,00",Engangs og Servietter,"kr 2,13 per stk"
Hus og hjem,100 stk,Grillpinner i Bambus,"kr 13,10",Engangs og Servietter,"kr 0,13 per stk"
Hus og hjem,50 stk,Skjeer i Plast,"kr 25,60",Engangs og Servietter,"kr 0,51 per stk"
Hus og hjem,50 stk,Teskjeer i Plast,"kr 25,60",Engangs og Servietter,"kr 0,51 per stk"
Brød og frokostblandinger,"Oppskåret, 1 stk",Formbakt Grovbrød,"kr 42,50",Ferske brød,"kr 55,19 per kg"
Brød og frokostblandinger,"Oppskåret, 1 stk",Grov Kneipp,"kr 22,80",Ferske brød,"kr 34,03 per kg"
Brød og frokostblandinger,"Oppskåret, 1 stk",Steinovnsbakt brød,"kr 37,30",Ferske brød,"kr 62,17 per kg"
Brød og frokostblandinger,"Oppskåret, 1 stk",Solsikkebrød,"kr 47,60",Ferske brød,"kr 61,82 per kg"
Brød og frokostblandinger,"Oppskåret, 1 stk",Familiebrød,"kr 41,40",Ferske brød,"kr 53,77 per kg"
Brød og frokostblandinger,"Oppskåret, 1 stk",Lurebrød,"kr 37,30",Ferske brød,"kr 48,44 per kg"
Brød og frokostblandinger,"Steinovnsbakt, 1 stk",Tyrolerbrød,"kr 41,90",Ferske brød,"kr 55,87 per kg"
Brød og frokostblandinger,"Vår laveste pris, 630 g",Loff,"kr 7,90",Ferske brød,"kr 12,54 per kg"
Brød og frokostblandinger,1 stk,Grov Kneipp,"kr 7,90",Ferske brød,"kr 11,79 per kg"
Tørkepapir og vaskemidler,"0,5 l",Oppvaskmiddel Sitron,"kr 13,80",Oppvask,"kr 27,60 per l"
Tørkepapir og vaskemidler,"0,5 l",Neutral Håndoppvask,"kr 38,80",Oppvask,"kr 77,60 per l"
Tørkepapir og vaskemidler,"Konsentrert, 0,5 l",Oppvaskmiddel Sensitive,"kr 21,50",Oppvask,"kr 43,00 per l"
Tørkepapir og vaskemidler,"Kjøkken, 300 ml",Håndsåpe,"kr 59,80",Oppvask,"kr 199,33 per l"
Tørkepapir og vaskemidler,2 stk,Zalo Maskinrens,"kr 49,80",Oppvask,"kr 24,90 per stk"
Tørkepapir og vaskemidler,2 stk,Oppvaskmaskinrens,"kr 49,90",Oppvask,"kr 24,95 per stk"
Tørkepapir og vaskemidler,"Maskinvask, 350 ml",Sun 3i1 Glans og Tørkemiddel,"kr 53,90",Oppvask,"kr 154,00 per l"
Tørkepapir og vaskemidler,"Assortert Design, 1 stk",Oppvaskbørste Trend,"kr 30,80",Oppvask,"kr 30,80 per stk"
Tørkepapir og vaskemidler,"Assortert Design, 1 stk",Design Oppvaskbørste,"kr 45,80",Oppvask,"kr 45,80 per stk"
Tørkepapir og vaskemidler,20 tablett,Kannerens,"kr 49,40",Oppvask,"kr 2,47 per tablett"
"Shampo, såpe og hudpleie",50 ml,"Moisturising Hand Cream, Lavender & Shea Butter","kr 57,40",Hudpleie,"kr 1148,00 per l"
"Shampo, såpe og hudpleie",250 ml,Soft Caring Lotion,"kr 41,80",Hudpleie,"kr 167,20 per l"
"Shampo, såpe og hudpleie",250 ml,Spenol Hudkrem,"kr 32,00",Hudpleie,"kr 128,00 per l"
"Shampo, såpe og hudpleie",100 ml,Håndkrem,"kr 45,60",Hudpleie,"kr 456,00 per l"
"Shampo, såpe og hudpleie",1 stk,Age Perfect Eye Cream,"kr 186,20",Hudpleie,"kr 186,20 per stk"
"Shampo, såpe og hudpleie",1 stk,Age Perfect Golden Age Rosy Day,"kr 207,00",Hudpleie,"kr 207,00 per stk"
"Shampo, såpe og hudpleie",1 stk,Age Perfect Golden Age Rosy Eye Cream,"kr 207,00",Hudpleie,"kr 207,00 per stk"
"Shampo, såpe og hudpleie",1 stk,Age Perfect  Golden Age Rosy  Night,"kr 207,00",Hudpleie,"kr 207,00 per stk"
Tørkepapir og vaskemidler,"Sensitiv, 1,1 kg",Maskinvask Farget,"kr 36,10",Klesvask,"kr 1,16 per vask"
